Name,Legal_Name,Start_Date,Street_Number,Street_Name,ZIP_Code,Lat,Lon,Category
Adrian's Pizza,,11/7/14,605,Thompson Run Rd,15237,40.539465,-79.990764,Take Out
Adrian's Pizza Express,Rock Enterprises Inc,4/22/04,7824,Perry Hwy,15237,40.551219,-80.037362,Take Out
Allegheny Sandwich Shop,,2/24/97,414,Grant St,15219,40.43811,-79.99686,NO Dollar Menu
Allegheny Sandwich Shoppe #3,Allegheny Sandwich Shoppe Inc,11/9/01,440,Ross St,15219,40.438514,-79.99533,NO Dollar Menu
Amili's Pizzeria,,2/26/99,1021,Brownsville Rd,15210,40.406082,-79.991863,Take Out
Angelia's Pizza,JNG Pizza LLC,5/11/04,202,Moon Clinton Rd,15108,40.513135,-80.223406,Take Out
Angelia's Pizza / Chill Frozen Dessserts,Eaton Pizza Inc,10/7/05,410,Penn Lincoln Dr,15126,40.442466,-80.235992,Take Out
Antney's Ice Cream,The Iceman Inc,4/11/02,1316,Poplar St,15205,40.42747,-80.052435,"Breakfast, Drink, Other"
Arby's,Kinco Inc,1/1/75,1617,Freeport Rd,15065,40.622125,-79.727516,Dollar Menu
Arby's #8,Linell Corporation,12/3/07,3974,Wm Penn Hwy,15146,40.437988,-79.772845,Dollar Menu
Arby's #42,ARG Co.,7/10/97,1378,Banksville Rd,15216,40.414684,-80.030651,Dollar Menu
Arby's #164,ARG Co.,7/9/97,3417,Forbes Ave,15213,40.439175,-79.960709,Dollar Menu
Arby's #836,ARG Co.,6/17/84,1140,Washington Pike,15017,40.3679,-80.103172,Dollar Menu
Arby's #1203,ARG Co.,7/9/97,2251,Noblestown Rd,15205,40.428509,-80.0531,Dollar Menu
Arby's #1414,ARG Co.,7/9/97,6192,Steubenville Pike,15136,40.445808,-80.150631,Dollar Menu
Arby's #1691,ARG Co.,7/10/97,5030,Wm Flynn Hwy,15044,40.606809,-79.946719,Dollar Menu
Arby's #1773,Arby's Restaurant Group,1/15/16,19075,Perry Hwy,16046,40.6225913,-80.0533722,Dollar Menu
Arby's #1853,ARG Co.,7/9/97,3700,Library Rd,15234,40.364992,-80.020333,Dollar Menu
Arby's #1854,ARG Co.,7/10/97,1911,S Braddock Ave,15218,40.422721,-79.885611,Dollar Menu
Arby's #1858,ARG Co.,7/7/97,6105,Saltsburg Rd,15147,40.484692,-79.819176,Dollar Menu
Arby's #6941,ARG Co.,8/6/99,2040,Lebanon Church Rd,15122,40.34781,-79.94861,Dollar Menu
Arby's #7345,ARG Co.,10/15/02,4260,Ohio River Blvd,15202,40.487673,-80.055679,Dollar Menu
Arby's #7502,ARG Co.,1/21/04,1804,Golden Mile Hwy / Rt 286,15239,40.44655,-79.713077,Dollar Menu
Arby's #7548,ARG Co.,5/26/04,450,Clairton Blvd,15236,40.338077,-79.978961,Dollar Menu
Arby's #7550,ARG Co.,5/26/04,4810,McKnight Rd,15237,40.525384,-80.004977,Dollar Menu
Arby's #7633,ARG Co,7/29/05,5205,Library Rd,15102,40.333904,-80.023611,Dollar Menu
Arby's #7678,RTM Operating Company,12/20/05,2831,Jacks Run Rd,15131,40.338628,-79.806234,Dollar Menu
Arby's #8042,ARG Co,11/24/08,9100,University Blvd,15108,40.502499,-80.222638,Dollar Menu
Arby's #8436,,1/12/15,808,Liberty Ave,15222,40.442516,-79.998747,Dollar Menu
Auntie Anne's,Romco Inc,2/25/09,3075,Clairton Blvd / Century III Mall,15123,40.340291,-79.938522,"Breakfast, Drink, Other"
Auntie Anne's,MM Pretzels LLC,11/1/02,309,Monroeville Mall,15146,40.426747,-79.79493,"Breakfast, Drink, Other"
Auntie Anne's / Cinnabon,EPOCH 5,3/30/12,,Pgh Intl Airport / Ne-1,15231,40.495309,-80.235291,"Breakfast, Drink, Other"
Auntie Anne's #Pa-219,Romco Inc,7/5/05,110,Pittsburgh Mills Cir,15084,40.637815,-79.796052,"Breakfast, Drink, Other"
Auntie Anne's FC-9,Romco Corp,11/4/03,100,Robinson Center Dr,15205,40.454124,-80.161164,"Breakfast, Drink, Other"
Auntie Anne's Kiosk,Romco Inc,9/29/04,100,Robinson Center Dr,15205,40.454124,-80.161164,"Breakfast, Drink, Other"
Auntie Anne's Pa #163,Romco Inc,3/2/09,1000,Ross Park Mall Dr,15232,40.544559,-80.008739,"Breakfast, Drink, Other"
Auntie Anne's Pretzels,M M Pretzels LLC,2/26/03,200,Monroeville Mall (Food Court),15146,40.432471,-79.751203,"Breakfast, Drink, Other"
Auntie Anne's Pretzels #PA287,Monroeville Mall Pretzel,10/18/13,,Monroville Mall,15146,40.430955,-79.794637,"Breakfast, Drink, Other"
Auntie Anne's Pretzels PA 253-- Upper Level,Romco Inc,10/29/09,301,South Hills Village Kiosk Upper Level,15241,40.32057,-80.087015,"Breakfast, Drink, Other"
Bartram House Bakery,Warne Foods LLC,10/5/11,2000,Village Run Rd,15090,40.633331,-80.056371,"Breakfast, Drink, Other"
Bartram House Bakery & Cafe,Bartram House Southside Corp,9/3/14,2612,Carson St,15203,40.427093,-79.968159,"Breakfast, Drink, Other"
Baskin-Robbins #765,Dean Ann Inc,10/3/87,1110,Freeport Rd,15238,40.487618,-79.881926,"Breakfast, Drink, Other"
Ben & Jerry's,The Ice Cream Shoppe on Forbes LLC,7/20/12,936,Penn Ave,15222,40.443921,-79.996699,"Breakfast, Drink, Other"
Big Kmart - Little Caesars #9438,Kmart Corp,9/15/00,720,Clairton Blvd,15236,40.326728,-79.945687,Take Out
Big Shot Bob's,,10/24/07,344,Union Ave,15202,40.503691,-80.061846,Take Out
Big Shot Bob's House of Wings,Big Shot Bob's House of Wings Inc,11/10/10,1534,5th Ave,15108,40.513421,-80.154136,Take Out
Big Shot Bob's Sandwich Shop,,11/24/15,1006,Washington Ave,15106,40.398829,-80.08295,Take Out
Bishop's Pizza,,9/26/01,428,Lebanon Rd,15122,40.370434,-79.928168,Take Out
Bishop's Pizza,Bishop's Pizza Inc,10/28/91,114,Whitaker St,15120,40.401029,-79.887913,Take Out
Bishop's Pizza,,10/8/90,1416,Lincoln Hwy,15137,40.3744542,-79.7962111,Take Out
Bishop's Pizza #9,,8/13/09,1811,Golden Mile Hwy,15239,40.447217,-79.714463,Take Out
Bishop's Pizza #10,Bishop's Pizza Inc,10/15/10,614,Walnut Ave,15025,40.304795,-79.893359,Take Out
Blaze Pizza,Fire Pitt Pizza LLC,5/23/16,3939,William Penn Hwy,15146,40.43812,-79.77622,Take Out
Blue Canary Coffee House,Blue Canary Cafe LLC,8/3/15,300,Mt Lebanon Blvd,15234,40.368736,-80.034172,"Breakfast, Drink, Other"
Bob's Sub,Bob's Sub Inc,10/11/12,215,Smithfield St,15222,40.438148,-80.000204,NO Dollar Menu
Bob's Sub,Bob's Sub Inc,8/17/15,2015,Pittsburgh Mills Blvd,15084,40.637815,-79.796052,NO Dollar Menu
Bob's Sub,Bob's Sub Inc,7/30/14,1713,Freeport Rd,15065,40.623749,-79.725248,NO Dollar Menu
Boonda's Hometown Pizza,,1/17/07,5622,Homeville Rd Unit B,15122,40.36821,-79.872442,Take Out
Boston Market #146,Boston Market Corp,6/19/00,3776,Wm Penn Hwy,15146,40.435723,-79.785201,NO Dollar Menu
Boston Market #266,Boston Market Corp,6/19/00,98,Clairton Blvd,15236,40.338077,-79.978961,NO Dollar Menu
Boston Market #0270,Boston Market Corp,6/19/00,5200,Baum Blvd,15224,40.455594,-79.941549,NO Dollar Menu
Boston Market #410,Boston Market Corp,6/19/00,978,Greentree Rd,15220,40.418072,-80.046016,NO Dollar Menu
Boston Market #3206,Boston Market Corp,6/14/02,300,Davis Blvd,15275,40.495013,-79.958815,NO Dollar Menu
Bourbon St Cafe,Golden Dove Inc,5/5/97,200,Monroeville Mall,15146,40.429183,-79.795459,"Breakfast, Drink, Other"
Brighton Hot Dog Shoppe,HDS Of Moon Inc,10/23/95,5990,University Blvd #11,15108,40.521267,-80.219777,NO Dollar Menu
Brighton Hot Dog Shoppe,Tr Kurtz LLC,9/19/07,2401,Noblestown Rd,15205,40.426856,-80.057269,NO Dollar Menu
Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,1/16/96,1134,Thorn Run Ext,15108,40.505249,-80.208526,"Breakfast, Drink, Other"
Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,10/11/94,422,Beaver St,15143,40.540608,-80.181178,"Breakfast, Drink, Other"
Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,11/19/93,1644,Cochran Rd,15220,40.392512,-80.061581,"Breakfast, Drink, Other"
Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,12/18/95,5213,Library Rd,15102,40.33414,-80.024069,"Breakfast, Drink, Other"
Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,11/24/93,4885,McKnight Rd,15237,40.529616,-80.010025,"Breakfast, Drink, Other"
Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,4/18/95,25,Market Pl,15222,40.441141,-80.003093,"Breakfast, Drink, Other"
Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,12/28/94,429,4th Ave,15219,40.438516,-79.998355,"Breakfast, Drink, Other"
Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,8/3/95,411,7th Ave,15219,40.44289,-79.996284,"Breakfast, Drink, Other"
Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,2/25/98,1801,E Carson St,15203,40.428934,-79.9803,"Breakfast, Drink, Other"
Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,2/19/98,5217,Clairton Blvd,15236,40.344196,-79.970964,"Breakfast, Drink, Other"
Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,11/15/92,3714,Forbes Ave,15213,40.441276,-79.956953,"Breakfast, Drink, Other"
Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,1/21/97,806,S Aiken St,15232,40.450725,-79.935724,"Breakfast, Drink, Other"
Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,1/18/93,1719,Murray Ave,15217,40.437442,-79.92281,"Breakfast, Drink, Other"
Bruegger's Bagel Bakery #064,Bruegger's Enterprises LLC,6/7/93,1720,Washington Rd,15241,40.348144,-80.053825,"Breakfast, Drink, Other"
Bruegger's Bagel Bakery #102,Bruegger's Enterprises Inc,6/20/94,531,Grant St,15219,40.440636,-79.99663,"Breakfast, Drink, Other"
Bruster's,Creamery Mgt Inc,7/24/01,9600,Perry Hwy,15237,40.581451,-80.037014,"Breakfast, Drink, Other"
Bruster's #034,Swirl of Pittsburgh LLC,2/12/16,493,Lowries Run Rd,15237,40.533744,-80.049769,"Breakfast, Drink, Other"
Bruster's Ice Cream,Gillner Enterprises LLC,6/26/02,4937,Wm Flynn Hwy,15044,40.60412,-79.947196,"Breakfast, Drink, Other"
Bruster's Ice Cream # 324,Sharp5 LLC,8/26/09,4940,Library Rd,15102,40.343815,-80.02743,"Breakfast, Drink, Other"
Buon Giorno Cafe,Buon Giorno Cafe Inc,9/5/97,20,Stanwix St,15222,40.43867,-80.005179,"Breakfast, Drink, Other"
Buon Giorno Cafe,Boston Conquest Inc,12/30/15,6,Smithfield St,15222,40.436865,-80.000512,"Breakfast, Drink, Other"
Burger King #463,5 Development Corp,10/24/86,4885,Wm Flynn Hwy,15101,40.601937,-79.947769,Dollar Menu
Burger King #668,Carrols LLC,7/1/14,909,Butler St,15223,40.511166,-79.947464,Dollar Menu
Burger King #670,Carrols LLC,7/12/14,1002,Emeryville Dr,16046,40.67299,-80.100335,Dollar Menu
Burger King #671,Carrols LLC,6/24/14,105,Ohio River Blvd,15143,40.559373,-80.165185,Dollar Menu
Burger King #2249,5 Development Corp Burger King,1/1/80,1901,Golden Mile Hwy / Route 286,15239,40.452215,-79.712942,Dollar Menu
Burger King #2546,PEC Management LLC,6/29/09,2799,Freeport Rd,15238,40.538533,-79.833257,Dollar Menu
Burger King #2679,Toms King (Penn) LLC,4/26/12,10955,Perry Hwy,15090,40.6174967,-80.0561118,Dollar Menu
Burger King #3030,Toms King (Penn) LLC,4/25/12,1901,Lincoln Hwy,15137,40.368281,-79.777485,Dollar Menu
Burger King #3855,,6/17/84,2900,Brownsville Rd,15210,40.382367,-79.976914,Dollar Menu
Burger King #4192,Toms King LLC Penn,2/13/14,1820,Carson St,15203,40.428448,-79.979541,Dollar Menu
Burger King #4350,Kondisko & Hoover Inc,4/8/85,3220,Library Rd,15234,40.36966,-80.011616,Dollar Menu
Burger King #7351,5 Development Corp,8/27/92,4490,Broadway Blvd,15146,40.391506,-79.766588,Dollar Menu
Burger King #11346,Patterson Erie Corp,11/21/97,5940,University Blvd,15108,40.521857,-80.218024,Dollar Menu
Burger King #11672,Tom King (Penn) LLC,5/16/12,415,Home Dr,15275,40.450283,-80.182053,Dollar Menu
Burger King #12195,Toms King (Penn) LLC,4/25/12,121,Walmart Dr,15137,40.386212,-79.82183,Dollar Menu
Burger King #12789,Toms King (Penn) LLC,4/25/12,5240,Library Rd,15102,40.331439,-80.023107,Dollar Menu
Burger King # 17292,PEC Management LLC,10/13/09,920,Ohio River Blvd,15202,40.494987,-80.066264,Dollar Menu
Cafe 4350,AVI Food / Systems,1/29/13,4350,Northern Pike,15146,40.4247021,-79.7412095,"Breakfast, Drink, Other"
Cafe Du Jour,,2/1/02,1107,E Carson St,15203,40.428895,-79.987145,"Breakfast, Drink, Other"
Calibrations Cafe,Parkhurst Dining Services Inc,5/8/15,1,Life Way,15205,40.439826,-80.1580566,"Breakfast, Drink, Other"
CCAC West Hills Cafe,AVI Foodsystems Inc,3/13/12,1000,McKee Rd,15071,40.436961,-80.193237,"Breakfast, Drink, Other"
Chan An Restaurant,,9/30/93,2013,Wharton St,15203,40.430381,-79.977263,Take Out
Chan An Restaurants,,6/27/91,37,Walsh Rd,15205,40.439312,-80.071078,Take Out
Charley's Grilled Subs #170,"Charley's Steakery, Inc.",2/17/12,200,Monroeville Mall,15146,40.429183,-79.795459,Take Out
Charley's Grilled Subs #363,CSI,11/1/11,447,Pittsburgh Mills Cir,15084,40.637815,-79.796052,Take Out
Charley's Grilled Subs #448,Charley's Steakery Inc,3/8/12,1000,Ross Park Mall Dr,15237,40.538969,-80.007711,Take Out
Charley's Grilled Subs #466,Charley's Steakery Inc,10/5/07,100,Robinson Center Dr,15205,40.454124,-80.161164,Take Out
Charley's Grilled Subs #472,Janisco Inc,6/14/07,,Pgh Intl Airport / Ac-02c,15231,40.495309,-80.235291,Take Out
Charley's Grilled Subs #530,Fap Clairmont LLC,7/14/08,120,5th Ave,15222,40.441888,-80.003443,Take Out
Charley's Philly Steaks #4,Charley's Steakery Of Pa,11/16/89,3075,Clairton Blvd / Century III Mall / Rm 736,15123,40.340291,-79.938522,Take Out
Chick-Fil-A,OHM Concession Group LLC,4/25/16,,Pgh Int'L Airport / Ac-20a/B,15231,40.495309,-80.235291,NO Dollar Menu
Chick-Fil-A,,9/5/03,121,Costco Dr,15205,40.457857,-80.167892,NO Dollar Menu
Chick-Fil-A,Chick-Fil-A,7/2/04,1000,Ross Park Mall Dr,15237,40.538969,-80.007711,NO Dollar Menu
Chick-Fil-A,Chick-Fil-A Inc,3/9/07,461,Clairton Blvd,15236,40.335106,-79.946515,NO Dollar Menu
Chick-Fil-A,Chick-Fil-A,3/1/08,480,E Waterfront Dr,15120,40.4127,-79.90791,NO Dollar Menu
Chick-Fil-A #01297,Yanak Hospitality Group LLC,11/2/15,100,Robinson Center Dr,15205,40.454124,-80.161164,NO Dollar Menu
Chick-Fil-A #1765,,3/9/09,1620,Washington Rd,15241,40.351995,-80.051541,NO Dollar Menu
Chick-Fil-A #2091,Chick-Fil-A,6/12/07,4040,Wm Penn Hwy / Miracle Mile,15146,40.437773,-79.764981,NO Dollar Menu
China House,Han & Chow,5/18/95,2001,Lincoln Way,15131,40.337364,-79.805396,Take Out
China House II,Hua Yuan Enterprise Inc,8/16/02,7400,Church St,15218,40.422307,-79.889321,Take Out
China Max,W & W Restaurant Inc,10/4/13,100,Robinson Center Dr,15205,40.454124,-80.161164,Take Out
China Max,Magic Wok Inc,4/23/10,301,South Hills Village - Fc2,15241,40.32057,-80.087015,Take Out
China Palace,China Palace Restaurant Inc,8/2/88,4059,Wm Penn Hwy,15146,40.440293,-79.769793,Take Out
China Wok,,8/24/98,1202,5th Ave,15219,40.438484,-79.988796,Take Out
China Wok Brentwood,China Wok II Inc,6/11/15,4060,Brownsville Rd,15227,40.366385,-79.981375,Take Out
Chipotle Mexican Grill #863,Chipotle Mexican Grill,12/12/06,3619,Forbes Ave,15213,40.441145,-79.958028,NO Dollar Menu
Chipotle Mexican Grill #877,Chipotle Mexican Grill Inc,8/15/06,310,McHolme Dr,15275,40.448506,-80.174236,NO Dollar Menu
Chipotle Mexican Grill #1089,Chipotle Mexican Grill of Colorado LLC,12/18/08,509,Clairton Blvd,15236,40.33329,-79.946259,NO Dollar Menu
Chipotle Mexican Grill #1146,Chipotle Mexican Grill of Colorado LLC,11/21/08,4800,Baum Blvd,15213,40.454233,-79.947422,NO Dollar Menu
Chipotle Mexican Grill #1264,Chipotle Mexican Grill of Colorado LLC,4/28/09,4861,McKnight Rd,15237,40.529066,-80.008721,NO Dollar Menu
Chipotle Mexican Grill #1533,Chipotle Mexican Grill of Colorado LLC,12/8/10,211,Forbes Av,15222,40.440614,-80.001898,NO Dollar Menu
Chipotle Mexican Grill #1803,Chipotle Mexican Grill of Colorado LLC,5/16/12,1614,Cochran Rd,15220,40.391701,-80.059861,NO Dollar Menu
Chipotle Mexican Grill #1896,Chipotle Mexican Grill of Colorado LLC,3/1/13,1720,Washington Rd,15241,40.348144,-80.053825,NO Dollar Menu
Chipotle Mexican Grill #2126,Chipotle Mexican Grill of Colorado LLC,1/20/14,5986,Centre Av,15206,40.463732,-79.920677,NO Dollar Menu
Chipotle Mexican Grill #2148,Chipotle Mexican Grill LLC,6/9/14,11359,Perry Highway,15090,40.623458,-80.053834,NO Dollar Menu
Chipotle Mexican Grill #2268,Chipotle Mexican Grill Inc,2/24/16,8870,Covenant Dr,15237,40.568912,-80.021814,NO Dollar Menu
Chipotle Mexican Grill #2347,Chipotle Mexican Grill Inc,10/27/15,3009,Washington Pike,15017,40.35433,-80.114791,NO Dollar Menu
Chipotle Mexican Grill #2347,Chipotle Mexican Grill of Colorado LLC,9/1/14,4137,William Penn Hwy,15146,40.439155,-79.766931,NO Dollar Menu
Chipotle Mexican Grill #2655,Chipotle Mexican Grill Inc,5/5/16,1027,Freeport Rd,15238,40.48807,-79.885568,NO Dollar Menu
Coffee Tree Roasters @ Duquesne Univ. Law,Parkhurst Dining,8/26/15,900,Locust St,15282,40.436613,-79.991948,"Breakfast, Drink, Other"
Cold Stone Creamery,TKEJ LLC,2/18/04,6509,Robinson Center Dr,15205,40.455223,-80.162075,"Breakfast, Drink, Other"
Cold Stone Creamery #21109,Shah Ventures Inc,9/9/13,5800,Forbes Ave,15217,40.43786,-79.922796,"Breakfast, Drink, Other"
Commonplace Coffee,Commonplace Coffee Inc,12/1/15,1501,Buena Vista Rd,15212,40.457034,-80.014819,"Breakfast, Drink, Other"
Cool Beans Coffee Co,Coffee A La Cart,1/25/95,1,Allegheny Center Mall,15212,40.453316,-80.004347,"Breakfast, Drink, Other"
Crazy Mocha,Specialty Mocha LLC,6/2/06,531,Beaver St,15143,40.539663,-80.178962,"Breakfast, Drink, Other"
Crazy Mocha,Crazy Mocha Coffee LLC,12/11/09,2,North Ave,15212,40.455617,-80.006868,"Breakfast, Drink, Other"
Crazy Mocha,Crazy Mocha Coffee Company LLC,11/15/10,4,Gateway Center,15222,40.440537,-80.005455,"Breakfast, Drink, Other"
Crazy Mocha,Murman & O'Hara LLC,3/24/08,801,Liberty Ave,15222,40.442949,-79.998918,"Breakfast, Drink, Other"
Crazy Mocha,Murman C Ohara LLC,1/18/07,420,Ft Duquesne Blvd,15222,40.447526,-79.993398,"Breakfast, Drink, Other"
Crazy Mocha,Murman & O'Hara LLC,7/20/09,2100,Murray Ave,15217,40.433523,-79.923269,"Breakfast, Drink, Other"
Crazy Mocha - Liberty Center,Crazy Mocha Coffee Co,11/19/08,1001,Liberty Ave,15222,40.444209,-79.994669,"Breakfast, Drink, Other"
Crazy Mocha (Grant St T Station),Murman & Ohara Crazy Mocha LLC,5/8/07,500,Grant St,15219,40.439678,-79.995932,"Breakfast, Drink, Other"
Crazy Mocha / One Mellon Center,Murman & O'Hara LLC,7/10/08,500,Grant St,15219,40.439678,-79.995932,"Breakfast, Drink, Other"
Crazy Mocha #29,Murman & O'Hara Inc,5/29/12,2775,Mosside Blvd,15146,40.436464,-79.759886,"Breakfast, Drink, Other"
Crazy Mocha #30,Murman & O'Hara Inc,8/16/12,5,Station Sq Dr,15219,40.430999,-80.00162,"Breakfast, Drink, Other"
Crazy Mocha #38,Crazy Mocha,8/10/15,309,Smithfield St,15222,40.438508,-79.999956,"Breakfast, Drink, Other"
Crazy Mocha Coffee,Specialty Mocha LLC,11/28/06,429,Forbes Ave,15219,40.439152,-79.997854,"Breakfast, Drink, Other"
Crazy Mocha Coffee #39,Murman & Ohara Co,11/23/15,2729,Carson St,15203,40.426798,-79.96651,"Breakfast, Drink, Other"
Crazy Mocha Coffee Co,Specialty Mocha LLC,11/16/07,1,PPG Place,15222,40.439998,-80.003795,"Breakfast, Drink, Other"
Crazy Mocha Coffee Co,Murmar & O'Hara LLC,10/27/09,225,Ross St,15219,40.437,-79.997091,"Breakfast, Drink, Other"
Crazy Mocha Coffee Co,Murman & Ohara LLC,3/4/05,207,Oakland Ave,15213,40.441362,-79.956696,"Breakfast, Drink, Other"
Crazy Mocha Coffee Co,Murman & O'Hara Enterprises,1/22/02,4525,Liberty Ave,15224,40.462925,-79.950817,"Breakfast, Drink, Other"
Crazy Mocha Coffee Co,Murman & O'Hara Enterprises LLC,9/22/04,4400,Forbes Ave,15213,40.442645,-79.950559,"Breakfast, Drink, Other"
Crazy Mocha Coffee Co,Murman & O'Hara Ent,3/1/00,5830,Ellsworth Ave,15232,40.456294,-79.930169,"Breakfast, Drink, Other"
Crazy Mocha Coffee Co #31,Murman & O'Hara LLC,7/8/13,5607,Baum Blvd,15232,40.4580616,-79.9353176,"Breakfast, Drink, Other"
Crazy Mocha Coffee Company,Murman & Ohara LLC,3/4/05,4030,Butler St,15201,40.46926,-79.961316,"Breakfast, Drink, Other"
Crazy Mocha Coffee Company,Crazy Mocha Coffee Company LLC,9/17/10,9104,Babcock Blvd,15237,40.5731154,-80.013686,"Breakfast, Drink, Other"
Dairy Queen,,6/17/84,4276,Ohio River Blvd,15202,40.48785,-80.056054,Dollar Menu
Dairy Queen,,3/11/92,3002,Babcock Blvd,15237,40.514473,-80.005981,Dollar Menu
Dairy Queen,Big Cone Inc,10/9/13,1223,E Carson Street,15203,40.428966,-79.985476,Dollar Menu
Dairy Queen,,6/18/91,1120,Lincoln Hwy,15137,40.3774004,-79.8020845,Dollar Menu
Dairy Queen / Orange Julius #42442,J-Mark Treats LLC,7/23/10,268,Settlers Ridge Center Dr,15205,40.440641,-80.149132,Dollar Menu
Dairy Queen & Orange Julius,Brico Realty LLC,3/19/14,100,Robinson Center Dr,15205,40.454124,-80.161164,Dollar Menu
Dairy Queen #13590,,12/1/99,4846,Library Rd,15102,40.346429,-80.027633,Dollar Menu
Dairy Queen #13613,Fuchs Enterprises LLC,3/12/12,4237,Verona Rd,15147,40.466405,-79.865185,Dollar Menu
Dairy Queen #13614,V S DQ Inc,7/31/98,400,Lebanon Rd,15122,40.371391,-79.927532,Dollar Menu
Dairy Queen Brazier #13599,,1/1/80,1613,Freeport Rd,15065,40.621901,-79.727936,Dollar Menu
Dairy Queen Grill & Chill #13605,DQ Carson St LLC,5/15/15,2795,Clairton Blvd,15227,40.376066,-79.969628,Dollar Menu
Dairy Queen Of Coraopolis,RSKR Inc,6/17/84,507,5th Ave,15108,40.521854,-80.17477,Dollar Menu
Dairy Queen Of Greentree,Rskr Inc,6/17/84,2331,Noblestown Rd,15205,40.427662,-80.053643,Dollar Menu
Dairy Queen Of Northern Pike,DQ Of Northern Pike Inc,5/12/89,4251,Northern Pike,15146,40.434128,-79.756057,Dollar Menu
Dairy Queen Of Perrysville,,3/6/87,1039,Perry Hwy,15237,40.541666,-80.036216,Dollar Menu
Dairy Queen of Scott,Dairy Store of Scott,6/9/95,1000,Washington Ave,15106,40.398392,-80.08349,Dollar Menu
Dairy Queen Of White Oak,,1/1/83,1990,Lincoln Way,15131,40.337485,-79.809543,Dollar Menu
Dairy Queen Orange Julius,Ross Park Mall Treatworks Inc,7/3/13,1000,Ross Park Mall Dr,15237,40.538969,-80.007711,Dollar Menu
Dairy Queen Orange Julius #41315,DQS Inc,5/23/14,301,Hills Village Fc#7,15241,40.342623,-80.05617,Dollar Menu
Danny's Pizza,Danny's Pizza Enterprises,1/1/77,4851,Clairton Blvd,15236,40.350007,-79.976336,Take Out
Dannys Parkview Pizza,Dannys Parkview Pizza Inc,6/17/84,5159,Library Rd,15102,40.335214,-80.022875,Take Out
DiBella's Old Fashioned Submarines,Western Reserve Management,12/19/11,9030,St Simon Way,15237,40.569194,-80.024251,Take Out
DiBellas Old Fashioned Submarines,DiBella's Old Fashioned Submarines Inc,2/10/06,6501,Steubenville Pike,15205,40.448034,-80.158727,Take Out
DiBellas Old Fashioned Submarines,DeBellas Old Fashioned Submarines,2/22/11,16,Market Pl,15222,40.440746,-80.001796,Take Out
Domino's #9059,JC North Hills,2/29/08,300,6th Ave,15222,40.441932,-80.001828,Take Out
Domino's Pizza,,5/4/15,1001,Carson St,15203,40.428923,-79.988402,Take Out
Domino's Pizza,JC Allison Park Inc,1/22/14,4848,William Flynn Hwy,15101,40.571191,-79.952845,Take Out
Domino's Pizza #3275,Julyn Inc,10/11/05,3300,Saw Mill Run Blvd,15227,40.375278,-79.983706,Take Out
Domino's Pizza #4709,JC Forest Hills Inc,7/19/07,2600,Ardmore Blvd,15221,40.413481,-79.84579,Take Out
Domino's Pizza #4710,JC McMurray Inc,2/9/07,119,N Sheridan Ave,15206,40.461722,-79.923425,Take Out
Domino's Pizza #9073,Team Pittsburgh 1 Inc,8/1/11,201,3rd St,15034,40.349548,-79.891425,Take Out
Domino's Pizza #9074,JC West View Inc,11/22/11,1019,West View Park Dr,15229,40.51662,-80.035139,Take Out
